,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
9346,"1,097.8500","1,097.3500","1,109.0500","1,108.0500",12.5199,1.13%,2016-01-25,1394/11/05,Monday,دوشنبه
9347,"1,108.0200","1,107.1700","1,123.3000","1,120.5699",5.02,0.45%,2016-01-26,1394/11/06,Tuesday,سه‌شنبه
9348,"1,120.3600","1,114.9000","1,128.2000","1,125.5900",10.45,0.94%,2016-01-27,1394/11/07,Wednesday,چهارشنبه
9349,"1,125.5699","1,111.9600","1,126.0100","1,115.1400",2.9,0.26%,2016-01-28,1394/11/08,Thursday,پنج‌شنبه
9350,"1,115.1600","1,108.9000","1,118.50","1,118.0400",10.8099,0.97%,2016-01-29,1394/11/09,Friday,جمعه
9351,"1,117.8800","1,116.2400","1,130.0900","1,128.8500",0.27,0.02%,2016-02-01,1394/11/12,Monday,دوشنبه
9352,"1,128.8199","1,122.4399","1,130.7000","1,129.1200",13.8101,1.22%,2016-02-02,1394/11/13,Tuesday,سه‌شنبه
9353,"1,129.1600","1,124.3500","1,146","1,142.9301",12.8099,1.12%,2016-02-03,1394/11/14,Wednesday,چهارشنبه
9354,"1,142.9500","1,139.4301","1,157.5900","1,155.7400",17.95,1.55%,2016-02-04,1394/11/15,Thursday,پنج‌شنبه
9355,"1,155.7400","1,145.3600","1,174.9000","1,173.6899",17.4501,1.49%,2016-02-05,1394/11/16,Friday,جمعه
9356,"1,170.8900","1,164.0900","1,200.9800","1,191.1400",2.29,0.19%,2016-02-08,1394/11/19,Monday,دوشنبه
9357,"1,191.1400","1,185.4800","1,199.2900","1,188.8500",8.64,0.73%,2016-02-09,1394/11/20,Tuesday,سه‌شنبه
9358,"1,188.9500","1,181.2900","1,197.7400","1,197.4900",49.4,4.13%,2016-02-10,1394/11/21,Wednesday,چهارشنبه
9359,"1,197.4399","1,196.2100","1,260.9800","1,246.8900",8.84,0.71%,2016-02-11,1394/11/22,Thursday,پنج‌شنبه
9360,"1,246.9399","1,232.2300","1,249.0500","1,238.0500",28.1001,2.32%,2016-02-12,1394/11/23,Friday,جمعه
9361,"1,232.8101","1,202.3000","1,234.8199","1,209.9500",9.6,0.8%,2016-02-15,1394/11/26,Monday,دوشنبه
9362,"1,209.3199","1,190.7900","1,217.1801","1,200.3500",8.79,0.73%,2016-02-16,1394/11/27,Tuesday,سه‌شنبه
9363,"1,200.1899","1,195.7900","1,213.8800","1,209.1400",23.21,1.92%,2016-02-17,1394/11/28,Wednesday,چهارشنبه
